time,active_time,concentration,end_criterion,evaluations,f_density
358.0325175,1.543402,20100.29899,-1.58E-06,865,97.52133549
363.7662174,1.543402,20100.29683,-1.56E-06,871,97.16407398
369.4999173,1.543402,20100.29491,-1.53E-06,876,96.81242075
375.5203022,1.543402,20100.29851,-1.51E-06,882,96.449004
381.5406871,1.543402,20100.30273,-1.49E-06,887,96.09130958
387.8620912,1.543402,20100.29727,-1.46E-06,893,95.72157381
394.1834954,1.543402,20100.29829,-1.44E-06,899,95.35758191
400.5048995,1.543402,20100.2934,-1.42E-06,905,94.99901299
406.8263036,1.543402,20100.29551,-1.40E-06,910,94.64555888
413.463778,1.543402,20100.29085,-1.38E-06,916,94.27951972
420.1012523,1.543402,20100.29544,-1.36E-06,922,93.91834893
426.7387266,1.543402,20100.28963,-1.34E-06,928,93.56160485
433.376201,1.543402,20100.28633,-1.33E-06,934,93.20875524
440.0136753,1.543402,20100.28286,-1.32E-06,940,92.85929627
446.6511497,1.543402,20100.27521,-1.31E-06,946,92.5126552
453.288624,1.543402,20100.27259,-1.30E-06,952,92.16792134
459.9260983,1.543402,20100.26432,-1.30E-06,958,91.82394381
466.5635727,1.543402,20100.26415,-1.31E-06,964,91.47738222
473.201047,1.543402,20100.25621,-1.44E-06,972,91.09394582
479.8385213,1.543402,20100.25899,-1.61E-06,984,90.66749537
483.1572585,1.543402,20100.25112,-1.59E-06,990,90.45677463
486.4759957,1.543402,20100.2543,-1.57E-06,996,90.24891209
489.7947329,1.543402,20100.25143,-1.55E-06,1002,90.04297584
493.11347,1.543402,20100.24947,-1.55E-06,1008,89.83682142
496.4322072,1.543402,20100.2458,-1.57E-06,1014,89.62821466
499.7509444,1.543402,20100.23498,-1.63E-06,1020,89.4111929
500,1.543402,20100.23631,-1.65E-06,1025,89.39472612
503.3187372,1.543402,20100.22902,-1.88E-06,1031,89.14539293
506.6374743,1.543402,20100.22876,-1.93E-06,1041,88.88864126
509.9562115,1.543402,20100.22964,-1.72E-06,1047,88.66021969
513.2749487,1.543402,20100.23188,-1.60E-06,1053,88.44767721
516.5936858,1.543402,20100.23224,-1.58E-06,1059,88.23857446
519.912423,1.543402,20100.22594,-1.70E-06,1066,88.01351352
523.2311602,1.543402,20100.23044,-2.11E-06,1072,87.73277627
526.5498974,1.543402,20100.23042,-2.03E-06,1082,87.46380713
529.8686345,1.543402,20100.23491,-1.63E-06,1088,87.24729418
533.1873717,1.543402,20100.22981,-1.39E-06,1094,87.06211741
536.5061089,1.543402,20100.23516,-1.25E-06,1099,86.89619051
539.9907829,1.543402,20100.23277,-1.16E-06,1104,86.73512135
543.6496906,1.543402,20100.23993,-1.08E-06,1109,86.57640487
547.4915437,1.543402,20100.23604,-1.03E-06,1114,86.41752006
551.5254895,1.543402,20100.24396,-9.94E-07,1119,86.25705739
555.7611326,1.543402,20100.23897,-9.67E-07,1124,86.09330122
560.2085578,1.543402,20100.24351,-9.44E-07,1129,85.92531258
564.8783543,1.543402,20100.23611,-9.28E-07,1134,85.75191702
569.7816405,1.543402,20100.23963,-9.15E-07,1139,85.57248687
574.9300912,1.543402,20100.23432,-9.05E-07,1144,85.3861591
580.3359643,1.543402,20100.23802,-8.96E-07,1149,85.19247912
586.0121311,1.543402,20100.23807,-8.88E-07,1154,84.99076903
591.9721062,1.543402,20100.24375,-8.82E-07,1160,84.7805674
597.9320814,1.543402,20100.24161,-8.77E-07,1166,84.57160619
603.8920565,1.543402,20100.25011,-8.72E-07,1172,84.36376646
609.8520317,1.543402,20100.24789,-8.69E-07,1178,84.15669579
615.8120068,1.543402,20100.25485,-8.66E-07,1184,83.95032276
621.7719819,1.543402,20100.25372,-8.64E-07,1190,83.74428564
627.7319571,1.543402,20100.25421,-8.63E-07,1196,83.53845838
633.6919322,1.543402,20100.25167,-8.64E-07,1202,83.33247686
639.6519074,1.543402,20100.25586,-8.66E-07,1208,83.12610543
645.6118825,1.543402,20100.2559,-8.69E-07,1214,82.91890352
651.5718576,1.543402,20100.26164,-8.74E-07,1220,82.71046754
657.5318328,1.543402,20100.26138,-8.83E-07,1226,82.49999621
663.4918079,1.543402,20100.26377,-8.95E-07,1232,82.28665847
669.4517831,1.543402,20100.26482,-9.14E-07,1238,82.06875918
675.4117582,1.543402,20100.26827,-9.45E-07,1244,81.84344468
681.3717333,1.543402,20100.26918,-1.01E-06,1250,81.60336981
687.3317085,1.543402,20100.26782,-1.23E-06,1261,81.30896464
690.311696,1.543402,20100.26842,-1.75E-06,1267,81.10090875
693.2916836,1.543402,20100.26842,-1.84E-06,1277,80.88115041
696.2716712,1.543402,20100.26955,-1.41E-06,1285,80.71358107
699.2516588,1.543402,20100.27127,-1.09E-06,1291,80.5836547
702.2316463,1.543402,20100.27663,-9.06E-07,1296,80.47563301
705.3606333,1.543402,20100.27612,-8.03E-07,1301,80.37510056
708.6460696,1.543402,20100.28,-7.42E-07,1306,80.27758454
712.0957777,1.543402,20100.27997,-7.09E-07,1311,80.17976504
715.7179712,1.543402,20100.28528,-6.88E-07,1316,80.08006889
719.5212744,1.543402,20100.28801,-6.77E-07,1321,79.97714728
723.5147427,1.543402,20100.29716,-6.68E-07,1326,79.87050574
727.7078845,1.543402,20100.2995,-6.62E-07,1331,79.75950235
732.1106834,1.543402,20100.30741,-6.56E-07,1336,79.64403624
736.7336222,1.543402,20100.30962,-6.51E-07,1342,79.52370244
741.356561,1.543402,20100.31738,-6.45E-07,1348,79.4044691
745.9794998,1.543402,20100.32017,-6.40E-07,1354,79.28611419
750.6024386,1.543402,20100.32131,-6.34E-07,1360,79.16888819
755.2253774,1.543402,20100.32398,-6.29E-07,1366,79.05261985
759.8483162,1.543402,20100.32491,-6.22E-07,1372,78.93751274
764.471255,1.543402,20100.3267,-6.17E-07,1377,78.82341231
769.3253407,1.543402,20100.32904,-6.10E-07,1383,78.70488666
774.1794265,1.543402,20100.33135,-6.04E-07,1389,78.58754346
779.0335122,1.543402,20100.33068,-5.98E-07,1394,78.47151905
